0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
0,19,4,0,689,1,0,0,3303,382,6267,0,0,33,0,1,0,145,0,0,0,0,49,0,0,151,0,0,0,0,0,0,0,0,4107,108,0,0,0,4,0,0,23,9,270,143,18680,0,0,113,0,394,7,40,144,0,5,0,80,0,2740,99,0,0,206,23,387,0,0,0,14,0,0,0,0,0,0,90,0,776,0,3938,299,157,10693,0,0,40,7,325,0,0,0,137,0,2,6,337,394,35,0,0,0,0,1,0,0,0,0,0,151,0,64,141,0,2,12,0,0,70,4,0,2,146,0,23,0,0,163,0,21,110,784,0,37,33,54,0,0,11,1,1,163,0,0,0,0,33,0,5,1,295,2,204,434,131,1,0,0,3535,248,0,8,1,1,498,159,236,0,90,0,0,1,1,0,7181,170,460,0,24,0,0,118,0,0,232,0,11,0,8,0,0,5,0,1,0,0,1,720,544,0,0,428,258,0,0,0,0,27,0,1,53,0,9,0,0,92,0,0,0,0,0,6,0,0,28,0,220,0,160,0,0,205,0,91,123,10,0,76,1,28,112,0,0,21,485,224,70,0,205,121,0,90,4,0,78
0,0,0,0,407,11,0,0,0,49,0,0,0,75,0,3,2453,135,3369,0,0,0,158,0,2,103,0,0,0,0,0,0,0,0,0,188,0,16,0,91,0,0,152,3,102,169,0,0,0,277,0,481,0,46,115,0,24,0,197,0,0,192,0,0,333,1,301,0,0,2478,18,0,0,0,0,41,0,279,0,100,0,0,605,274,0,0,0,11,0,305,0,0,0,189,0,1,0,16,231,77,0,0,0,0,1,0,0,0,0,0,312,0,5826,88,0,0,5697,0,0,90,327,0,11,219,0,0,0,0,44,0,41,202,354,0,68,102,87,0,0,37,12,0,20,0,0,0,0,36,0,1,7,467,0,360,76,78,0,6,0,0,357,0,28,19,17,222,19,91,0,98,0,0,1,32,0,0,20,333,0,1,0,7,282,0,0,107,0,115,0,31,0,0,10,0,21,0,8,5,326,289,0,0,533,119,0,0,0,0,101,0,0,1342,0,11,0,0,76,0,0,0,18,0,0,0,0,219,0,286,0,328,0,0,240,0,295,587,1,0,122,0,57,63,0,0,207,417,498,632,0,47,97,0,220,6,0,38
0,110,0,0,93,0,0,0,0,0,0,0,0,52,0,2,0,95,0,0,0,0,117,0,0,187,0,378,0,0,0,0,0,3,0,8,3,163,0,0,0,0,241,9,80,7,0,0,33,0,0,0,0,109,78,0,532,0,8,0,0,0,0,0,61,1,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,16,33,0,0,0,3,0,335,0,315,0,101,0,0,0,10,0,3,3191,0,0,0,1,0,0,0,0,1962,4,0,0,394,0,0,0,0,14,47,0,0,0,34,0,0,0,0,212,3035,0,0,0,0,70,131,1,0,0,0,0,0,0,0,0,0,0,216,0,1,0,14,0,219,288,281,0,0,0,0,175,0,19,0,0,279,396,35,0,0,3449,0,0,0,0,0,25,132,0,2,0,0,385,0,0,62,3089,679,0,0,0,0,0,0,0,0,0,6,175,302,0,0,291,96,2618,1,0,0,15,0,0,0,0,0,0,0,66,0,0,0,0,0,1,0,0,31,0,0,0,1,0,0,108,0,46,0,0,0,24,0,107,4,0,0,2,0,117,0,0,0,83,0,1,0,0,0
0,0,0,1363,44,2,0,0,0,0,0,0,0,120,0,1,0,35,0,127,3865,2,161,0,0,0,1,0,0,0,0,0,0,0,0,30,0,65,0,465,0,0,567,149,33,19,0,0,0,3,0,9,0,0,99,0,57,0,1,1,0,107,0,0,102,426,1,0,0,0,114,0,0,0,0,8,0,185,0,0,5875,0,20,90,0,0,0,300,0,6,0,0,759,119,0,1294,0,13,0,68,0,0,0,0,1,4899,0,0,4372,0,180,12,0,0,0,64,0,0,0,287,0,0,0,110,0,0,0,0,0,0,1,0,0,0,82,314,403,1644,6,30,0,0,0,0,996,72,0,95,0,115,9,6,26,73,35,0,605,0,0,0,180,2802,37,4,15,2,112,296,0,3,0,0,0,33,20,0,4,19,0,82,0,2,225,2659,0,17,0,376,2,25,0,0,45,0,5,1,16,0,23,44,587,0,200,9,0,0,0,0,30,0,958,0,0,183,0,0,56,0,0,0,0,0,0,0,0,52,0,260,0,85,1,0,2,0,78,0,35,783,87,707,180,83,0,0,5,0,23,0,0,0,14,31,8,64,0,417
0,117,0,0,347,0,0,0,0,0,0,0,0,3,0,0,0,222,0,0,0,0,125,0,0,382,0,1254,0,0,0,0,0,0,0,0,1,12,0,0,0,0,64,0,110,0,0,0,630,0,0,0,0,130,77,0,107,0,0,0,0,2,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,451,2721,0,0,0,1,2,0,0,0,0,0,762,5360,877,0,26,0,0,0,10,0,0,4533,0,0,0,1,0,4,0,0,1,39,0,0,1075,0,0,0,0,489,42,0,0,0,17,0,0,0,0,800,5,0,0,0,0,52,54,1,0,0,0,0,0,0,0,0,0,0,46,0,0,0,1,0,314,74,600,0,0,0,0,114,0,22,0,0,568,7,2,0,0,5514,0,0,0,0,0,7,258,0,0,0,0,384,0,0,116,0,222,0,0,0,0,0,0,0,0,0,2,436,165,0,0,596,207,67,29,49,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,5403,8,0,1,0,28,0,0,375,0,38,0,0,0,2,0,176,0,0,0,0,0,14,0,0,0,127,0,0,0,0,0
0,146,0,0,205,0,0,0,3015,24,4790,0,0,4,0,4,0,139,0,0,0,0,145,0,0,514,0,1342,0,0,0,0,0,4353,3896,0,238,37,0,0,0,0,197,1,65,0,0,0,914,0,1,6,0,292,69,0,194,0,0,1,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,294,1189,0,0,1819,3,4,0,105,0,0,5959,946,0,572,0,18,0,0,1,3,0,1,0,0,0,0,1,0,0,0,0,195,19,0,144,1071,0,0,43,0,823,19,0,0,0,3,0,0,0,0,745,0,0,0,0,0,57,91,2,0,0,0,0,0,3,0,0,0,0,138,0,2,0,20,0,71,21,963,0,0,0,4603,8,0,12,2,0,779,9,1,0,0,0,0,2217,0,0,0,14,220,0,1,0,0,383,0,1,115,0,323,0,0,0,0,0,0,0,0,0,12,520,75,0,4,438,143,42,10,0,0,8,0,0,0,0,0,0,0,80,0,0,0,1,0,19,0,0,4,0,3,0,4,0,0,278,0,45,1,0,0,1,0,45,11,0,0,0,0,10,0,0,0,39,0,1,0,0,0
0,0,0,0,235,401,0,7085,0,0,0,0,0,235,138,112,0,161,0,23,0,27,248,0,0,2,0,0,0,0,0,0,0,0,0,249,0,13,0,0,3328,0,323,84,219,167,0,0,0,37,8,13,368,2,198,0,23,0,259,0,0,0,1,0,463,65,19,0,0,0,221,0,0,0,0,537,0,37,0,1,0,0,255,233,0,0,0,108,0,45,0,0,0,209,0,0,0,143,0,343,0,0,8,0,1,0,0,0,0,0,7,0,0,2,0,10,0,0,0,19,0,0,4,315,0,0,0,0,0,0,516,2,4,30,57,141,0,0,4,196,1,14,0,0,0,31,0,11,0,8,373,105,0,609,60,0,1,7,0,0,572,0,27,0,220,423,47,15,0,103,0,0,0,257,99,0,515,214,0,6,0,184,145,0,0,203,0,269,0,274,0,0,99,0,399,0,484,1,264,37,0,0,426,289,0,0,0,0,173,0,0,0,0,47,0,33,89,0,0,2036,0,63,0,0,0,352,0,1,0,2,0,0,217,0,299,2,15,0,154,1,6,0,0,0,147,1,251,2,2781,0,234,20,144,321,0,0
0,0,0,0,110,643,0,71,0,0,0,0,0,184,913,1,0,190,0,23,0,27,110,0,0,1,0,0,0,0,0,0,0,0,0,73,0,46,0,17,55,0,302,153,199,47,0,0,0,6,18,6,893,0,104,0,15,0,80,4,0,79,1,0,319,478,13,0,0,0,346,0,0,0,0,317,0,222,0,0,0,0,66,184,0,0,0,382,0,106,0,0,17,158,5,33,0,27,0,281,0,5835,3116,0,1,0,0,0,0,0,337,0,0,0,0,65,0,0,0,213,0,0,0,323,0,0,15,0,0,0,250,0,3,0,58,196,69,0,22,404,0,0,0,0,2,17,0,29,2,70,443,27,3,252,37,1,56,1,0,0,356,0,33,4,72,124,100,187,0,69,0,0,0,168,64,0,81,107,0,27,0,468,262,0,0,179,0,237,0,452,0,0,196,0,207,1,423,1,112,15,25,0,299,111,0,0,0,0,125,0,2,0,0,109,0,27,98,0,0,0,3,453,0,0,0,96,0,214,0,210,0,0,153,0,100,0,63,1,112,8,112,78,239,0,56,1,39,0,250,0,188,22,63,664,2,25
0,0,0,0,366,0,0,0,0,0,0,0,0,79,0,143,0,217,0,4,0,0,18,0,0,0,583,0,0,0,0,0,0,0,0,36,0,0,1154,0,0,0,48,186,305,4,0,0,0,0,12,1,0,2,265,0,1,0,2,541,0,1,0,0,146,34,4,0,629,0,28,0,0,0,0,0,0,0,0,1,0,0,19,59,0,0,0,130,0,12,0,0,2,106,0,0,0,316,0,65,0,0,0,0,1,0,0,0,0,0,17,504,0,1,0,5,0,0,0,0,0,6,0,314,0,0,0,0,0,0,0,0,0,45,61,18,1,0,0,28,0,0,0,4,0,0,0,2,1,155,0,4,760,684,26,0,8,0,0,0,362,0,20,1,0,783,4,1,0,0,0,0,0,7,0,0,888,582,0,514,1746,1,5,0,0,421,0,0,274,2,0,1072,24,0,0,7,0,0,738,6,3,0,98,821,0,0,0,0,17,0,0,0,0,54,0,0,73,0,0,0,0,0,0,0,0,67,0,3,617,7,0,0,275,0,89,0,496,2,152,11,0,1,0,0,5,0,8,0,0,0,284,1,19,10,698,0
0,0,0,0,288,7,0,0,0,1,0,0,0,141,100,13,0,194,0,1,0,0,154,0,2588,49,0,1,0,0,0,0,0,0,0,321,0,67,0,0,0,0,229,24,164,165,0,0,0,352,4,322,51,12,111,0,116,0,210,0,0,1,0,0,356,6,129,0,0,0,71,0,0,0,0,73,0,44,0,37,0,0,533,318,0,0,0,12,0,290,0,0,0,290,2430,0,0,30,7,178,0,1,0,0,1,0,0,0,0,0,32,0,0,44,0,1,0,0,0,15,1,0,57,304,0,0,2565,0,9,0,272,161,66,3,62,125,0,0,0,94,198,0,2,0,0,1,0,94,0,0,30,259,1,456,109,34,0,1137,0,0,475,0,40,0,67,555,16,6,107,140,0,0,0,62,2,0,274,268,0,2,0,11,217,0,0,188,0,303,1,39,0,0,21,0,166,0,46,8,598,255,0,0,319,303,0,0,0,0,175,0,0,106,0,36,0,0,82,0,6934,0,0,3,0,0,0,280,0,6,0,18,0,0,330,0,351,374,11,0,154,0,28,2,7340,0,247,138,471,369,1,5,201,0,400,28,0,0
