0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
0,53,4,0,332,1,0,0,3302,368,6267,0,0,36,0,2,0,145,0,0,0,0,57,0,0,102,0,0,0,0,0,0,0,0,4108,93,0,0,0,17,0,0,37,9,270,129,18679,0,0,96,0,401,7,40,146,0,5,0,71,0,2743,113,0,0,185,27,406,0,0,0,8,0,0,0,0,0,0,299,0,802,0,3936,308,221,10693,0,0,35,7,392,0,1,0,136,0,2,4,610,386,32,0,0,0,0,1,0,0,0,0,0,152,0,64,147,0,2,11,0,0,68,4,0,2,142,0,24,0,0,199,0,22,105,783,0,38,33,54,0,0,13,1,1,167,0,0,0,0,32,0,6,2,322,1,212,426,136,1,0,0,3540,273,0,8,2,1,529,229,239,0,84,0,0,1,1,0,7182,191,441,0,23,0,0,99,0,0,232,0,8,0,8,0,0,9,0,1,0,0,1,646,497,0,0,389,244,0,0,0,0,30,0,1,52,0,7,0,0,94,0,0,0,0,0,5,0,0,27,0,3,0,144,0,0,202,0,89,120,6,0,75,1,32,113,0,0,18,484,227,69,0,203,110,0,89,5,0,77
0,0,0,0,73,11,0,0,0,44,0,0,0,76,0,3,2464,135,3388,0,0,0,149,0,2,47,0,0,0,0,0,0,0,0,0,187,0,17,0,127,0,0,164,3,107,163,0,0,0,283,0,490,0,48,116,0,23,0,201,0,0,212,0,0,345,1,305,0,0,2471,19,0,0,0,0,40,0,497,0,98,0,0,607,313,0,0,0,9,0,379,0,0,0,189,0,3,0,139,230,75,0,0,0,0,1,0,0,0,0,0,290,0,5817,91,0,0,5677,0,0,84,333,0,10,152,0,0,0,0,165,0,43,203,360,0,71,102,86,0,0,36,12,0,17,0,0,0,0,37,0,2,8,493,0,381,74,68,0,6,0,0,374,0,28,17,17,239,79,87,0,95,0,0,0,33,0,0,84,319,0,1,0,8,247,0,0,106,0,120,0,36,0,0,12,0,21,0,8,5,315,239,0,0,497,111,0,0,0,0,100,0,0,1345,0,8,0,0,74,0,0,0,40,0,0,0,0,221,0,21,0,321,0,0,277,0,294,590,0,0,121,0,66,63,0,0,196,414,488,628,0,51,89,0,224,8,0,37
0,148,0,0,100,0,0,0,0,0,0,0,0,58,0,2,0,95,0,0,0,0,122,0,0,141,0,379,0,0,0,0,0,3,0,8,3,167,0,0,0,0,242,9,88,5,0,0,31,0,0,0,0,105,79,0,519,0,8,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,241,0,0,0,0,17,60,0,0,0,3,0,13,0,305,0,102,0,0,0,27,0,3,3174,0,0,0,1,0,0,0,0,2000,5,0,0,404,0,0,0,0,12,42,0,0,0,36,0,0,0,0,451,3012,0,0,0,0,72,131,1,0,0,0,0,0,0,0,0,0,0,222,0,1,0,22,0,234,292,276,0,0,0,0,182,0,19,0,0,287,290,32,0,0,3456,0,0,0,0,0,50,140,0,2,0,0,379,0,0,62,3108,659,0,0,0,0,0,0,0,0,0,6,182,229,0,0,284,94,2584,1,0,0,15,0,0,0,0,0,0,0,66,0,0,0,0,0,1,0,0,28,0,0,0,0,0,0,145,0,38,0,0,0,26,0,112,3,0,0,1,0,129,0,0,0,90,0,2,0,0,0
0,0,0,1364,4,2,0,0,0,0,0,0,0,125,0,0,0,34,0,125,3865,2,138,0,0,0,1,0,0,0,0,0,0,0,0,32,0,78,0,401,0,0,534,149,34,16,0,0,0,3,1,10,0,0,99,0,52,0,1,1,0,90,0,0,134,485,0,0,0,0,147,0,0,0,0,8,0,44,0,0,5875,0,26,53,0,0,0,300,0,126,0,0,759,117,0,1250,0,45,0,75,0,0,0,0,1,4899,0,0,4372,0,159,10,0,0,0,64,0,0,0,298,0,0,0,151,0,0,0,0,0,0,1,0,0,0,82,316,421,1643,6,31,0,0,0,0,996,79,0,95,0,128,9,0,27,84,33,0,596,0,0,0,182,2802,36,4,15,2,331,284,0,3,0,0,0,33,21,0,16,18,0,69,0,1,212,2658,0,16,0,424,3,24,0,0,75,0,5,1,17,0,23,21,590,0,221,11,0,0,0,0,29,0,960,0,0,183,0,0,58,0,0,0,29,0,0,0,0,50,0,0,0,84,1,0,5,0,83,0,22,777,87,695,185,85,0,0,8,0,28,0,0,0,20,31,8,61,0,417
0,297,0,0,73,0,0,0,0,0,0,0,0,3,0,0,0,218,0,0,0,0,113,0,0,430,0,1146,0,0,0,0,0,0,0,0,2,11,0,0,0,0,87,0,115,0,0,0,526,0,0,0,0,123,77,0,103,0,0,0,0,3,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,829,2744,0,0,0,1,11,0,0,0,0,0,118,5372,863,0,26,0,0,0,74,0,0,4498,0,0,0,1,0,4,0,0,2,38,0,0,1057,0,0,0,0,411,34,0,0,0,10,0,0,0,0,1097,7,0,0,0,0,52,54,1,0,0,0,0,0,0,0,0,0,0,46,0,0,0,1,0,328,70,734,0,0,0,0,124,0,22,0,0,585,18,2,0,0,5555,0,0,0,0,0,57,245,0,0,0,0,381,0,0,118,0,164,0,0,0,0,0,0,0,0,0,2,452,86,0,0,548,213,148,30,62,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,5411,8,0,0,0,27,0,0,436,0,23,0,0,0,2,0,203,0,0,0,0,0,17,0,0,0,138,0,0,0,0,0
0,352,0,0,103,0,0,0,3013,17,4790,0,0,4,0,3,0,136,0,0,0,0,134,0,0,591,0,1336,0,0,0,0,0,4353,3899,0,230,38,0,0,0,0,201,1,67,0,0,0,734,0,1,5,0,293,69,0,190,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,624,1321,0,0,1821,3,10,0,106,0,0,5953,19,0,549,0,18,0,0,1,57,0,1,0,0,0,0,1,0,0,0,0,194,19,0,142,1069,0,0,43,0,772,15,0,0,0,5,0,0,0,0,1187,0,0,0,0,0,57,92,2,0,0,0,0,0,6,0,0,0,0,140,0,2,0,17,0,94,21,977,0,0,0,4603,8,0,12,2,0,779,4,1,0,0,0,0,2222,0,0,0,91,228,0,1,0,0,370,0,1,115,0,309,0,0,0,0,0,0,0,0,0,12,543,18,0,4,426,129,53,10,0,0,7,0,0,0,0,0,0,0,82,0,0,0,1,0,16,0,0,4,0,2,0,3,0,0,294,0,42,1,0,0,2,0,57,12,0,0,0,0,15,0,0,0,41,0,1,0,0,0
0,0,0,0,420,398,0,7088,0,0,0,0,0,224,138,96,0,160,0,25,0,27,216,0,0,0,0,0,0,0,0,0,0,0,0,282,0,16,0,0,3327,0,306,84,221,165,0,0,0,39,9,14,370,2,199,0,22,0,270,0,0,1,1,0,478,46,18,0,0,0,208,0,0,0,0,525,0,35,0,1,0,0,260,177,0,0,0,98,0,10,0,0,0,208,0,0,0,301,0,338,0,0,8,0,1,0,0,0,0,0,7,0,0,2,0,12,0,0,0,18,0,0,4,323,0,0,0,0,4,0,533,4,4,31,58,141,0,0,3,188,1,16,0,0,0,26,0,13,0,9,365,116,0,590,58,1,1,7,0,0,572,0,27,0,225,418,49,15,0,117,0,0,0,258,100,0,271,246,0,6,0,185,119,0,0,202,0,276,0,285,0,0,101,0,400,0,486,1,269,32,0,0,438,281,0,0,0,0,173,0,0,0,0,43,0,34,87,0,0,2038,0,63,0,0,0,348,0,0,0,1,0,0,230,0,292,2,8,0,154,0,8,0,0,0,155,1,250,2,2779,0,236,24,146,317,0,0
0,0,0,0,76,642,0,71,0,0,0,0,0,186,916,0,0,190,0,24,0,30,98,0,0,1,0,0,0,0,0,0,0,0,0,83,0,49,0,32,56,0,304,153,193,58,0,0,0,8,17,7,896,0,102,0,14,0,89,3,0,109,1,0,306,336,12,0,0,0,364,0,0,0,0,310,0,104,0,0,0,0,69,119,0,0,0,368,0,319,0,0,16,158,5,18,0,91,0,294,0,5835,3112,0,1,0,0,0,0,0,324,0,0,0,0,63,0,0,0,212,0,0,0,385,0,0,15,0,1,0,247,1,3,0,58,198,69,0,22,420,0,0,0,0,2,15,0,29,1,80,435,15,3,253,38,0,57,1,0,0,358,0,33,4,75,122,243,185,0,79,0,0,0,172,66,0,64,109,0,23,0,464,243,0,0,179,0,255,0,448,0,0,326,0,208,2,422,2,115,9,21,0,304,110,0,0,0,0,121,0,2,0,0,118,0,27,98,0,0,0,4,457,0,0,0,90,0,11,0,201,0,0,128,0,100,0,42,1,112,8,115,78,239,0,58,1,44,0,249,0,163,23,67,650,2,23
0,0,0,0,692,0,0,0,0,0,0,0,0,82,0,104,0,217,0,4,0,0,19,0,0,0,583,0,0,0,0,0,0,0,0,40,0,0,1154,1,0,0,48,187,347,4,0,0,0,0,13,1,0,2,267,0,1,0,2,543,0,2,0,0,173,31,4,0,629,0,42,0,0,0,0,0,0,2,0,1,0,0,21,49,0,0,0,129,0,12,0,0,2,105,0,0,0,514,0,66,0,0,0,0,1,0,0,0,0,0,15,496,0,2,0,4,0,0,0,0,0,4,0,218,0,0,0,0,0,0,1,0,0,44,61,18,1,0,0,27,0,0,0,4,0,0,0,2,1,145,0,4,728,635,25,0,7,0,0,0,382,0,20,0,0,762,0,1,0,0,0,0,0,7,0,0,397,628,0,546,1746,1,2,0,0,421,0,0,272,2,0,1072,25,0,0,5,0,0,717,6,3,0,100,826,0,0,0,0,18,0,0,0,0,47,0,0,75,0,0,0,0,0,0,0,0,67,0,0,612,6,0,0,329,0,85,0,519,2,151,11,0,0,0,0,4,0,8,0,0,0,300,1,21,10,690,0
0,0,0,0,484,7,0,0,0,1,0,0,0,147,99,12,0,194,0,1,0,0,149,0,2588,16,0,1,0,0,0,0,0,0,0,330,0,74,0,0,0,0,220,24,172,155,0,0,0,381,4,336,52,15,110,0,104,0,223,0,0,5,0,0,381,5,124,0,0,0,61,0,0,0,0,71,0,168,0,40,0,0,534,334,0,0,0,12,0,44,0,0,0,290,2430,0,0,83,6,172,0,1,0,0,1,0,0,0,0,0,35,0,0,44,0,1,0,0,0,10,2,0,55,201,0,0,2567,0,46,0,292,165,69,3,64,126,0,0,0,93,177,0,2,0,0,1,0,96,0,0,28,269,1,466,105,28,0,1138,0,0,477,0,40,0,69,554,17,7,106,140,0,0,0,63,2,0,174,292,0,3,0,13,200,0,0,188,0,302,1,42,0,0,13,0,166,0,44,8,596,220,0,0,321,295,0,0,0,0,175,0,0,102,0,27,0,0,81,0,6934,0,0,3,0,0,0,284,0,0,0,15,0,0,397,0,351,377,6,0,152,0,29,2,7340,0,240,139,452,366,1,4,199,0,401,28,0,0
